Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,99.768,39.478,0,top
C2,0.1uF,C_0603_1608Metric,119.4575,34.78,90,top
C4,10uF,CP_EIA-3216-18_Kemet-A,127.708,27.794,90,top
C5,10uF,CP_EIA-3216-18_Kemet-A,113.23,31.858,-90,top
C6,0.1uF,C_0603_1608Metric,91.25,57.87,180,top
C7,1uF,C_0603_1608Metric,113.23,27.032,90,top
C8,0.1uF,C_0603_1608Metric,91.31,55.93,180,top
C10,0.1uF,C_0603_1608Metric,99.019,37.192,0,top
D1,SS14D,D_SMA,123.39,28.81,90,top
F1,Polyfuse,Fuse_0805_2012Metric,118.056,31.35,180,top
FPC1,FPC_40P_0.5mm,Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal_flipped,124,51.5,90,top
FPC2,Conn_01x06,Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal,142.95,59.99,90,top
J2,Conn_01x04,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,142.694,47.098,90,top
J5,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,106.675,29.3,0,top
Q1,S8050,SOT-23,85.544,32.874,180,top
Q2,S8050,SOT-23,92.402,27.3645,90,top
Q3,S8050,SOT-23,116.278,37.446,90,top
R1,4.7K,R_0603_1608Metric,96.466,39.478,180,top
R2,100K,R_0603_1608Metric,121.612,34.87,90,top
R3,1K,R_0603_1608Metric,115.77,58.274,0,top
R4,1K,R_0603_1608Metric,115.77,56.242,0,top
R5,10K,R_0603_1608Metric,96.212,27.794,180,top
R6,10K,R_0603_1608Metric,96.212,26.016,180,top
R7,10K,R_0603_1608Metric,115.77,54.21,0,top
R8,10K,R_0603_1608Metric,85.227,35.922,180,top
R10,10K,R_0603_1608Metric,92.402,30.588,0,top
R11,10K,R_0603_1608Metric,115.77,60.052,0,top
R12,10K,R_0603_1608Metric,115.77,61.83,0,top
R18,10K,R_0603_1608Metric,112.468,36.43,0,top
R19,10,R_0603_1608Metric,118.9,45.32,0,top
R20,10,R_0603_1608Metric,118.96,43.65,0,top
R21,10,R_0603_1608Metric,118.96,41.9,0,top
R23,10K,R_0603_1608Metric,115.77,50.146,180,top
R24,5K1,R_0603_1608Metric,104.34,36.43,0,top
R25,5K1,R_0603_1608Metric,108.213,36.43,180,top
U1,CP2102N-A01-GQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,93.926,34.906,180,top
U3,AP2112K-3.3,SOT-23-5,118.564,27.794,180,top
U4,ESP32-WROOM-32D,ESP32-WROOM-32,103.51,53.448,0,top
